departure_airport,flight_count
Adams Field Airport,23
Albany International,8
Albemarle,14
Albert J Ellis,8
Alexandria International,2
Asheville Regional Airport,11
Ataturk Airport,6
Atlantic City International,1
Austin-bergstrom International,19
Austin-straubel Field,15
Baltimore/Washington International Thurgood Marshall,4
Birmingham,6
Blue Grass,4
Boise Air Terminal/Gowen Field,1
Bradley International,33
Bush Field,14
Cancún International,9
Central Illinois Regional Airport at Bloomington-Normal,5
"Charleston, AFB Municipal",2
Charlotte Douglas,13
Chicago Ohare International,41
Cincinnati/Northern Kentucky,36
Clinton Field,1
Cyril E King Airport,6
Dallas/Fort Worth International,28
Dane County Regional,5
Dannelly Field,4
Daytona Beach International Airport,24
Denver International,7
Des Moines International,10
Detroit Metropolitan Wayne County,9
Don Miguel Hidalgo y Costilla International,4
Dothan Airport,9
Eastern Iowa Airport,12
Eglin AFB,22
Eppley Airfield,12
Findel,1
Fort Lauderdale–Hollywood International,5
Frankfurt International Airport,9
Franz Josef Strauss,1
Fresno Air Terminal Airport,6
Gainesville Regional,6
General Mitchell International,7
George Bush Intercontinental,9
Gerald R. Ford International,8
Golden Triangle Reg.,16
Greater Rochester International,6
Greater Rockford Airport,1
Greenville Spartanburg International Airport,21
Gulfport-Biloxi International,3
Haneda Airport,1
Harrisburg International,6
Hartsfield-jackson Atlanta International,1
Heathrow,5
Hopkins International,21
Huntsville International - Carl T. Jones Field,6
Indianapolis International,1
Internacional Benito Juarez,1
International,13
International Jetport,45
Jackson-evers,5
"Jacksonville,",26
James Cox Dayton International,8
Joe Foss Field Airport,5
John F Kennedy International,30
Kansas City International Airport,7
La Guardia,13
Lafayette Regional,9
Lambert-St. Louis International,8
Lester B. Pearson International,5
Logan International,23
Los Angeles International,5
Los Cabos,1
Louisville International (Standiford Field),31
Love Field,5
Lovell Field,23
Luis Munoz Marin International,4
Mc Carran International,4
Mc Ghee Tyson,5
Melbourne International Airport,7
Memphis International,3
Metropolitan Airport,5
Metropolitan Oak International,1
Miami International Airport,27
Midway,8
Mineta San Jose International Airport,2
Minneapolis - St. Paul International,15
Mobile Regional Airport,2
Municipal,5
Municipal/Baer Field,38
NW Florida Beaches Int,6
Nashville International,1
Nassau International,7
Newark Liberty International,9
Norfolk International Airport,7
Northwest Arkansas Regional,18
Orlando International,20
Outagamie County,16
Palm Springs Metropolitan Area,2
Pensacola International Airport,4
Philadelphia International,2
Piedmont Triad International,23
Pierre Elliott Trudeau International,4
Pittsburgh International,31
Port Columbus International,18
Portland International,6
Punta Cana International,1
Quad-City,1
Raleigh-durham International Airport,17
Reno-Tahoe International,3
Richmond International Airport,49
Roanoke Regional Airport,10
Rogue Valley International - Medford Airport,1
Ronald Reagan Washington National Airport,36
Ryan,5
Sacramento International,4
Salt Lake City International,4
San Antonio International,8
San Diego International Airport,1
San Francisco International,11
Sangster International,4
Sarasota/Bradenton International,33
Savannah/Hilton Head,22
Schiphol,1
Seattle-Tacoma International,18
Seoul (Incheon),2
Sharjah International Airport,4
Sky Harbor International,1
Snohomish County - Paine Field,3
South Bend Regional,3
Southwest Florida International,7
Spokane International,1
T. F. Green Airport,25
Taiwan Taoyuan International (Chiang Kai Shek International),1
Tallahassee Regional Airport,3
Tampa International,5
Tucson International Airport,5
Tullamarine,1
Tulsa International,9
Valdosta Regional Airport,4
Washington Dulles International,9
Westchester County Apt,9
Will Rogers World Airport,10
William P Hobby,13
Yeager,5
